text,label,auto_label_confidence,label_encoded
"""mau nambah router min jual ngga",Problem,1.0,2
"""estimasi perbaikan kendala area sampai kapan?",Information,0.6,1
"""harga mesh wifi berapa?",Information,1.0,1
"""estimasi waktu relokasi",Request,1.0,3
"""cara berlangganan biznet",Problem,0.0,2
"""internet down",Problem,1.0,2
"""harga visit berbayar",Information,1.0,1
"""cara order promo min",Information,1.0,1
"""cara pengajuan auto debit",Problem,0.0,2
"""cara melakukan terminasi",Request,1.0,3
"""harga iptv",Information,1.0,1
"""apakah perubahan paket menghanguskan masa aktif?",Information,1.0,1
"""cara login ke mybiznet",Problem,0.0,2
"""cara cek fup atau kuota",Information,1.0,1
"""pembelian iptv",Problem,0.0,2
"""kak, saya mau pasang wifi di alamat yg berbeda. saya juga sempet tanya ke sales area jl h hasan kelurahan baru, an mas zikri. tp contact beliau tidak bisa dihubungi lagi",Problem,1.0,2
"""min modem saya hilang",Problem,1.0,2
"""mau masuk ke modem?",Problem,0.6666666666666666,2
"""iya min cara akses ke modem mau ganti password",Problem,1.0,2
"""cara cek tanggal reset kuota?",Information,1.0,1
"""kendapa speed test lemah ya?",Information,1.0,1
"""saya ada kendala login ke app biznet sudah ganti password ngak bisa masuk2",Problem,1.0,2
"""prediksi cuaca hari ini min",Problem,0.0,2
"""cara relokasi",Request,1.0,3
"""minta kompensasi karena internet kendala terus",Problem,0.5,2
"""cara mengganti password wifi",Problem,0.0,2
"""cek lokasi dong",Problem,0.0,2
"""ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah",Problem,1.0,2
"""harga promo biznet home internet 2d modem beli",Information,0.6666666666666666,1
"""harga modem biznet",Problem,0.5,2
"""modem saya ada lampu merahnya min?",Problem,0.6666666666666666,2
"""jadwal reset fup",Information,1.0,1
"""sudah bayar tapi masa aktif gak sesuai kak?",Information,1.0,1
"""cara upgrade layanan",Request,1.0,3
"""jaringan saya putus sambung",Problem,1.0,2
"""mau berhenti berlangganan, belum pasti nanti akan digunakan kembali atau tidak pak",Request,1.0,3
"""cara melakukan pembayaran melalui virtual account bca",Problem,0.0,2
"""cara order promo",Information,1.0,1
"""cara melakukan relokasi",Request,1.0,3
"""saya mau pindahin modem gimana caranya?",Problem,0.6666666666666666,2
"""biaya relokasi",Request,0.5,3
"""wifi saya bermasalah",Problem,0.0,2
"""kenapa reminder tidak masuk wa atau sms?",Problem,0.5,2
"""apakah ada promo untuk bulan ini?",Information,1.0,1
"""harga biznet home internet 1d",Information,1.0,1
"""ini kenapa ada biznet autodebet yg sudah saya cancel masih tetep masuk ya tagihannya ke credit card saya",Problem,1.0,2
"""internet saya bermasalah",Problem,0.0,2
"""virtual account bca",Problem,0.0,2
"""virtual account permata",Problem,0.0,2
"""cara mengetahui id billing",Information,1.0,1
"""cara registrasi kembali",Problem,0.0,2
"""harga home internet 0d",Information,1.0,1
"""cara mengetahui masa aktif akun",Problem,0.0,2
"""cara order modem biznet",Problem,1.0,2
"""saya sudah bayar tapi belum aktif?",Information,1.0,1
"""kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?",Problem,0.5,2
"""cara pembayaran melalui tokopedia",Problem,0.0,2
"""cara restart modem",Problem,1.0,2
"""cara terminasi",Request,1.0,3
"""cara menambah installasi biznet",Problem,0.0,2
"""promo untuk pelanggan baru?",Information,1.0,1
"""mau ajuin perluasan wilayah gimana caranya?",Information,1.0,1
"""cara menemukan sn modem",Problem,1.0,2
"""cara mengetahui jumlah perangkat yang terhubung",Problem,0.0,2
"""teman saya pelanggan biznet kok dapat gratis kesehatan, saya tidak dapat?",Problem,0.5,2
"""cara setting ke bridge",Problem,0.0,2
"""cara mengetahui nomor pembayaran baru",Problem,0.0,2
"""cara order promo melalui mybiznet",Information,1.0,1
"""can you speak english?",Information,1.0,1
"""cara mendapatkan form relokasi",Request,1.0,3
"""hai, my connection internet is so bad, can you help me?",Information,1.0,1
"""cara add on kuota",Request,1.0,3
"""biaya pinalty terminasi",Request,0.5,3
"""cara setting cctv?",Information,1.0,1
"""lampu modem loss merah",Problem,1.0,2
"""cara setting cctv pakai jaringan biznet",Problem,0.0,2
"""nomor call center biznet home",Problem,0.0,2
"""cara reset password mybiznet",Request,1.0,3
"""cara merubah e-mail terdaftar",Problem,0.0,2
"""internet saya down dari semalam",Problem,1.0,2
"""harga mesh wifi berapa",Information,1.0,1
"""harga paket yang tersedia di biznet home",Information,1.0,1
"""harga paket yang tersedia untuk di sumatera",Information,1.0,1
"""apakah layanan biznet home dikenakan kontrak",Problem,0.0,2
"""apakah masa kontrak berlaku untuk pelanggan yang membeli modem?",Problem,0.6666666666666666,2
"""jika kuota utama habis, apakah internetnya tidak bisa digunakan?",Problem,0.75,2
"""apa itu fup",Information,1.0,1
"""kapan kuota akan direset",Information,1.0,1
"""apakah masa aktif terhitung 30 hari?",Information,1.0,1
"""apakah biznet home memiliki promo",Information,1.0,1
"""apakah biznet home memiliki kompensasi",Problem,0.0,2
"""apakah biznet dapat melakukan refund jika terjadi kesalahan pembayaran?",Information,1.0,1
"""harga iptv",Information,1.0,1
"""apakah benar di beberapa area tidak diperlukan modem atau perangkat?",Problem,0.6666666666666666,2
"""bagaimana cara terminasi",Request,0.5,3
"""bagaimana cara relokasi",Request,0.5,3
"""bagaimana jika ingin relokasi namun alamat barunya tidak tercakup",Request,1.0,3
"""internetnya lambat",Problem,1.0,2
"""apakah biznet ada pemblokiran ip",Problem,0.0,2
"""berapa maksimal device pada layanan 0d",Information,1.0,1
"""berapa maksimal device pada layanan 1d",Information,1.0,1
"""berapa maksimal device pada layanan 2d",Information,1.0,1
"""berapa maksimal device pada layanan 3d",Information,1.0,1
"""apakah bisa memiliki lebih dari 1 akun?",Information,1.0,1
"""berapa lama proses pemasangan setelah dilakukan pembayaran",Request,0.5,3
"""apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?",Information,1.0,1
"""berapa biaya instalasi",Information,1.0,1
"""berapa harga modem membeli dan menyewa",Information,0.6666666666666666,1
"""apakah biznet memiliki masa tenggang?",Information,1.0,1
"""apakah modem bisa diganti jika terjadi kerusakan",Problem,1.0,2
"""jika akunnya sudah diterminasi, apakah bisa berlangganan kembali",Problem,0.0,2
"""apakah ada garasi pada pembelian modem?",Problem,0.6666666666666666,2
"""apakah ada garansi pada pembelian modem?",Problem,0.6666666666666666,2
"""apakah ada garansi pada perangkat biznet iptv stb",Problem,0.0,2
"""berapa biaya relokasi",Information,0.6666666666666666,1
"""jika skema modem diawal menyewa, apakah bisa dilakukan pembelian",Problem,1.0,2
"""apakah dikenakan biaya jika ingin downgrade layanan?",Information,0.6,1
"""cara mengetaui billing id",Information,1.0,1
"""cara pembayaran",Problem,0.0,2
"""cara mengambil promo",Information,1.0,1
"""cara mengecek coverage area",Request,1.0,3
"""apakah biznet memiliki sla",Problem,0.0,2
"""bagaimana cara memperluas jangkauan modem",Problem,0.5,2
"""bagaimana mana cara memperluas jangkauan sinyal",Problem,0.0,2
"""jika terdapat los merah di modem apakah yang harus dilakukan",Problem,1.0,2
"""bagaimana jika speed yang didapatkan tidak sesuai",Problem,0.0,2
"""apakah biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya",Problem,0.0,2
"""apakah biznet menyediakan kabel lan",Problem,0.0,2
"""jika terdapat kendala pada adaptor, apakah bisa diganti",Problem,1.0,2
"""bagaimana cara pembelian remote untuk stb",Information,1.0,1
"""bagaimana jika iptv hanya blank hitam saja",Problem,0.0,2
"""bagaimana cara restart stb",Information,1.0,1
"""bagaimana cara restart modem",Problem,0.5,2
"""apakah biznet memiliki layanan bandwidth on demand",Information,1.0,1
"""bagaimana cara registrasi biznet",Information,1.0,1
"""via portal apa saja untuk menghubungi biznet customer service",Information,1.0,1
"""apakah biznet metronet memiliki sla",Problem,0.0,2
"""paket yang miliki ip public",Problem,0.0,2
"""apakah layanan biznet home upload dan downloadnya simetris",Problem,0.0,2
"""bagaimana cara agar koneksi internet tetap stabil",Information,1.0,1
"""jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?",Problem,0.6666666666666666,2
"""jika fup yang digunakan sudah melebihi pemakaian, apa yang akan terjadi",Information,1.0,1
"""kalo nomor telepon home care berapa ya? saya mau call",Information,1.0,1
"""apakah jika banyak perangkat yang terhubung dapat mempengaruhi fup",Information,1.0,1
"""bagaimana cara pembelian extra kuota",Information,1.0,1
"""apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari",Problem,0.0,2
"""jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama",Problem,0.0,2
"""apakah bisa menggunakan e-mail dan nomor telepon yang sama",Problem,0.0,2
"""apakah biznet home mengeluarkan invoice fisik",Problem,0.0,2
"""internet saya down bisa di bantu cek?",Problem,0.6666666666666666,2
"""berapa biaya visit berbayar",Information,1.0,1
"""bagaimana cara merubah data",Information,1.0,1
"""cara mengajukan perpindahan tiang biznet sebagai non customer",Problem,0.0,2
"""bagaimana prtosedur relokasi?",Request,0.6666666666666666,3
"""apa status modem saya?",Problem,0.6666666666666666,2
"""jika modem saya rusak apakah bisa dilakukan pergantian?",Problem,0.6666666666666666,2
"""bagaimana cara cek ip address saya?",Information,1.0,1
"""bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?",Information,0.6,1
"""berapa meter jarak ideal pemakaian wifi dari modem biznet",Problem,0.5,2
"""apakah ada loker di biznet",Problem,0.0,2
"""apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?",Problem,0.4,2
"""apakah akun saya bisa dialihkan ke orang lain?",Information,1.0,1
"""apakah ktp yang sudah saya daftarkan bisa didaftarkan lagi?",Information,1.0,1
"""apakah mybiznet ada aplikasinya di playstome atau appstore?",Information,1.0,1
"""apakah bisa ajukan terminasi melalui mybiznet?",Request,0.6666666666666666,3
"""apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?",Problem,0.6666666666666666,2
"""bagaimana cara mengganti password wifi",Information,1.0,1
"""apakah jaringan biznet bisa diperjual belikan lagi?",Information,1.0,1
"""bagaimana cara mengganti ssid wifi",Information,1.0,1
"""bagaimana cara membuat pembayaran menjadi auto debet",Information,1.0,1
"""kapan akan dikirimkan reminder pembayaran",Information,1.0,1
"""berapa meter jangkauan modem biznet",Problem,0.5,2
"""apakah jaringan biznet free hotspot diluar bisa saya gunakan?",Information,1.0,1
"""bagaimana cara berlangganan internetnya saja tanpa iptv",Information,1.0,1
"""apakah perkantoran bisa menggunakan layanan home?",Information,1.0,1
"""paket yang disarankan jika ingin menggunakan cctv",Problem,0.0,2
"""bagaimana cara menambahkan kartu kredit",Information,1.0,1
"""apakah akun saya bisa dialihkan ke non fup?",Information,1.0,1
"""bagaimana cara memberhentikan kartu kredit",Information,1.0,1
"""jika fup saya habis apakah inet saya masih bisa digunakan?",Information,1.0,1
"""apakah biznet menyediakan modem wireless?",Problem,0.6666666666666666,2
"""bagaimana jika ingin terminasi namun terdapat kartu kredit",Request,1.0,3
"""apakah perangkat akan diambil jika modemnya membeli",Problem,0.0,2
"""apakah tidak ada promo pembelian modem?",Information,0.6,1
"""apakah bisa dilakukan rekoneksi",Problem,0.0,2
"""apakah cabang gunung putri buka setiap hari?",Information,1.0,1
"""apakah tiang biznet berwarna kuning",Problem,0.0,2
"""apakah boleh saya datang ke cabang?",Information,1.0,1
"""harga internet 1ds",Information,1.0,1
"""harga internet 0ds",Information,1.0,1
"""harga internet 3ds",Information,1.0,1
"""harga internet 1dw",Information,1.0,1
"""harga internet 2dw",Information,1.0,1
"""harga internet 3dw",Information,1.0,1
"""apakah free extra quota hanya untuk pelanggan baru atau existing",Problem,0.0,2
"""ip yang didapatkan pada paket 1d",Problem,0.0,2
"""bagaimana cara ubah password akun mybiznet?",Information,1.0,1
"""cara stop auto debet?",Information,1.0,1
"""layanan iptv biznet bisa terhubung ke berapa tv?",Information,1.0,1
"""apakah stb tv biznet bisa ditukar jika rusak?",Information,1.0,1
"""mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi",Request,1.0,3
"""apakah dapat menchandise jika pemasangan biznet?",Request,0.6666666666666666,3
"""mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan terminasi",Request,1.0,3
"""berapa harga remote iptv?",Information,1.0,1
"""apakah biznet menyediakan merchandise",Problem,0.0,2
"""apakah biznet melakukan pemblokiran port",Problem,0.0,2
"""apakah remot tv iptv bisa beli diluar biznet?",Information,1.0,1
"""bagaimana cara melakukan pergantian password pada akun mybiznet",Information,1.0,1
"""apakah sinyal modem akan mencakup seluruh ruangan",Problem,1.0,2
"""apakah biznet ada channel gbo",Problem,0.0,2
"""apakah biznet ada channel hbo",Problem,0.0,2
"""berapa lama proses installasi biznet?",Information,1.0,1
"""apakah relokasi modem biznet bisa saya relokasi mandiri?",Problem,0.4,2
"""halo internet saya down sejak kemarin bisa di cek",Problem,1.0,2
"""mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?",Problem,0.75,2
"""mengapa tidak bisa menggunakan dns lain?",Problem,0.75,2
"""apa itu dns?",Information,1.0,1
"""apakah bisa dilakukan perubahan atas nama",Problem,0.0,2
"""apa itu ip?",Information,1.0,1
"""apakah biznet home mengeluarkan faktur pajak",Problem,0.0,2
"""apa bedanya ip static dan ip dinamic?",Information,1.0,1
"""apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil",Problem,0.0,2
"""apakah biznet home bisa melakukan perubahan nama atas nama pt",Problem,0.0,2
"""apakah bisa dilakukan perubahan paket dari biznet home ke biznet metronet",Problem,0.0,2
"""apa arti biznet?",Information,1.0,1
"""cara melakukan pembayaran via bank bri",Problem,0.0,2
"""apakah biznet pempunya layanan telepon?",Information,1.0,1
"""cara melakukan pembayaran via bank mandiri",Problem,0.0,2
"""cara melakukan pembayaran via tokopedia",Problem,0.0,2
"""cara melakukan pembayaran via bank bca",Problem,0.0,2
"""apakah layanan home memiliki jatuh tempo",Problem,0.0,2
"""apakah layanan home memiliki jatuh tempo setiap bulannya",Problem,0.0,2
"""packet loss",Problem,1.0,2
"""promo",Information,1.0,1
"""tv tidak bisa koneksi internet",Problem,1.0,2
"""smart tv saya terkendala",Problem,0.0,2
"""stb communication error",Problem,1.0,2
"""stb connection error",Problem,1.0,2
"""cara factory reset stb",Problem,0.0,2
"""cara melihat device yang terhubung di modem.",Problem,1.0,2
"""weak security pada iphone",Problem,0.0,2
"""rekomendasi router untuk game",Problem,1.0,2
"""ping jumping",Problem,0.0,2
"""ada promo 3+1 ga",Information,1.0,1
"""youtube nya putus putus",Problem,1.0,2
"""sudah restart modem tapi masih sama",Problem,1.0,2
"""bisakah datangkan teknisi",Problem,0.0,2
"""oi putus nih inetnya",Problem,1.0,2
"""apa status modem saya?",Problem,0.6666666666666666,2
"""kenapa koneksi saya putus-putus?",Problem,0.75,2
"""apakah mybiznet bisa menampilkan banyak akun",Problem,0.0,2
"""dimana kantor pusat biznet?",Information,1.0,1
"""apakah biznet bisa membayar pasca bayar",Problem,0.0,2
"""perbedaan ip dynamic private dan ip public dynamic",Problem,0.0,2
"""cek sisa kuota saya berapa?",Information,1.0,1
"""cara ubah paket",Request,1.0,3
"""ada promo 6+2 ga",Information,1.0,1
"""nomornya call center berapa?",Information,1.0,1
"""call center layanan home berapa sih?",Information,1.0,1
"""apakah saya bisa merubah tagihan perbulan menjadi pertahun ?",Information,1.0,1
"""internet terputus",Problem,1.0,2
"""boleh di bantu kendala internet down",Problem,1.0,2
"""bisa menggunakan bahasa indonesia",Problem,0.0,2
"""untuk kartu kredit, tanggal berapa biasanya akan terdebet?",Information,1.0,1
"""bisa dicek id pelanggan ini 10003 los merah menyala?",Problem,0.6666666666666666,2
"""kenapa koneksi internet saya putus nyambung?",Problem,0.75,2
"""mengapa saat saya main game ping nya tinggi?",Information,1.0,1
"""bagaimana cara mengecek kouat pemakaian saya dibulan ini?",Information,1.0,1
"""saya ingin mengecek masa aktif akun saya sampai kapan?",Information,1.0,1
"""terminasi layanan biznet kemana?",Request,0.6666666666666666,3
"""untuk change package bagaimana?",Information,1.0,1
"""layanan internet los",Problem,1.0,2
"""jenis jenis paket biznet home apa aja min?",Information,1.0,1
"""untuk paket home 0d benefitnya apa aja?",Information,1.0,1
"""apakah area saya di cibarusah sudah tercakup?",Information,1.0,1
"""paket home 3d benefitnya apa?",Information,1.0,1
"""kelurahan tebet sudah tercakup blm ya?",Information,1.0,1
"""kalau biaya pemasangan baru berapa kak?",Information,0.5555555555555556,1
"""promo perpanjangan ada apa aja kak?",Information,1.0,1
"""internet saya mati",Problem,1.0,2
"""cara beli promo gemana ?",Information,1.0,1
"""relokasi layanan biznet home?",Request,0.6666666666666666,3
"""apakah bisa membeli router tambahan dari biznet?",Problem,0.6666666666666666,2
"""apakah ada pengeblokan port internet untuk layanan biznet ?",Information,1.0,1
"""biaya relokasi layanan biznet home berapa kak?",Information,0.7142857142857143,1
"""untuk harga paket di lokasi batam apakah dikenakan ppn kak?",Information,1.0,1
"""kenapa vpn kantor saya tidak ada koneksi.",Problem,1.0,2
"""berapa harga stb biznet?",Information,1.0,1
"""untuk biaya berlangganan iptv berapa?",Information,1.0,1
"""ping mobile legend tinggi",Problem,0.0,2
"""kenapa hasil trace route ada rto ?",Problem,0.5,2
"""perbedaan speed dan bandwidth",Information,1.0,1
"""berapa lama ip biznet home terganti",Information,1.0,1
"""cara cek coverage layanan biznet home",Request,1.0,3
"""cara cek masa aktif layanan biznet saya",Problem,0.0,2
"""troubleshoot internet lambat",Problem,1.0,2
"""troubleshoot modem blinking",Problem,1.0,2
"""kabel fiber saya ada yang putus kak, saya harus gimana ya?",Problem,0.6666666666666666,2
"""saya mau pasang kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",Information,1.0,1
"""kalo untuk layanan iptv ada ga kak?",Information,1.0,1
"""untuk stb nya apakah ada biaya lagi?",Information,1.0,1
"""baik, untuk estimasi pemasangan baru berapa lama kak?",Request,0.5714285714285714,3
"""untuk biaya pemasangannya apakah dibayarkan di awal?",Information,1.0,1
"""untuk layanan customer service biznet home bisa menghubungi kemana?",Information,1.0,1
"""registrasi pemasangan baru bisa melalui apa?",Request,0.8,3
"""ip yang didapatkan dari paket biznet home apa ya kak?",Information,1.0,1
"""untuk minimal berlangganannya selama berapa bulan ya kak?",Information,1.0,1
"""kalau telat melakukan pembayaran paket apakah ada denda kak?",Information,1.0,1
"""untuk biaya kunjungan petugas berapa?",Information,1.0,1
"""cara ubah password wifi di lokasi bagaimana?",Information,1.0,1
"""ssid saya hilang, bagaimana mengatasinya?",Information,1.0,1
"""kenapa saya tidak bisa akses website lokal?",Problem,0.75,2
"""ssid saya muncul, tapi tidak ada jaringan internetnya. bagaimana ya kak agar bisa normal kembali?",Information,1.0,1
"""untuk username login mybiznet apa ya kak?",Information,1.0,1
"""bagaimana cara ubah alamat email terdaftar kak?",Information,1.0,1
"""apakah layanan biznet bisa diganti kepemilikan?",Information,1.0,1
"""cara cek status billing pembayaran?",Information,1.0,1
"""cek kode virtual akun pembayaran billing biznet home?",Information,1.0,1
"""koneksinya lambat",Problem,1.0,2
"""internet saya putus",Problem,1.0,2
"""inwt mati ni",Problem,1.0,2
"""internet putus ni",Problem,1.0,2
"""oke terus paket bixnet ada apa aha sih?",Information,1.0,1
"""cara cek kuota",Problem,0.0,2
"""koneksi lambat",Problem,1.0,2
"""berapa harga paket 150mbps",Information,1.0,1
"""tidak ada koneksi",Problem,0.0,2
"""relokasi",Request,1.0,3
