text,label,auto_label_confidence
"""ini kenapa ya los merah menyala pada modem saya?""",Problem,0.8333333333333334
"""bisa dicek ID pelanggan 1000308564 los meah menyala sejak pagi?""",Problem,0.6666666666666666
"""los merah menyala sejak pagi""",Problem,1.0
"""pada modem saya lampu merah menyala sejak pagi, bisa dicek?""",Problem,0.6666666666666666
"""apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?""",Problem,0.6666666666666666
"""bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?""",Information,1.0
"""Kamu sebagai apa di biznet""",Problem,0.0
"""Apa kah kamu kenal dengan pak Adi""",Problem,0.0
"""Siapa owner biznet""",Problem,0.0
"""Itu kamu tau pak Adi owner biznet tadi ditanya gak tau""",Problem,0.0
"""Saya minta no WhatsApp nya dong""",Request,1.0
"""Estimasi kunjungan teknisi biznet""",Request,1.0
"""Channel IPTV Biznet apa aja ya ?""",Information,1.0
"""Mau refund dana Biznet""",Problem,0.0
"""Beberapa website tidak bisa diakses""",Problem,1.0
"""Bagaimana cara cek IP Server game valorant ?""",Information,1.0
"""Berapa jarak ideal dari DP terdekat ke rumah untuk pemasangan ?""",Information,0.6
"""cara relokasi layanan""",Request,1.0
"""PSN tidak bisa konek""",Problem,1.0
"""Chromecast tidak bisa digunakan.""",Problem,1.0
"""Perbedaan frekuensi modem 2.4Ghz dan 5Ghz .""",Problem,1.0
"""Modem biznet wifi berapa ?""",Information,0.6
"""Apakah modem Biznet sudah support wifi 6 ?""",Problem,0.6666666666666666
"""Perbedaan wifi 5 dan wifi 6 modem ?""",Problem,0.6666666666666666
"""Mau mengajukan sponsorship""",Problem,0.0
"""saya salah melakukan pembayaran ke akun orang lain""",Problem,0.0
"""Apa kelemahan koneksi dengan fiber ?""",Information,1.0
"""Kelemahan koneksi wifi""",Problem,0.0
"""fungsi parental control modem dan caranya""",Problem,1.0
"""Fungsi whitelist di modem""",Problem,1.0
"""fungsi blacklist modem""",Problem,1.0
"""Apa itu DDNS ?""",Information,1.0
"""Bagaimana cara mengatur DDNS ?""",Information,1.0
"""cara pembayaran Biznet Home.""",Problem,0.0
"""Kuota habis""",Problem,0.0
"""Kuota saya tidak ter reset""",Problem,0.0
"""Kenapa Biznet tidak bisa menggunakan DNS Google .""",Problem,1.0
"""Rekomendasi router dari Biznet""",Problem,1.0
"""Rekomendasi router tambahan dari Biznet""",Problem,1.0
"""Internet saya down sudah 2 hari apa ada kompensasi ?""",Problem,0.6666666666666666
"""Minimal speed yang didapatkan layanan 0D ?""",Information,1.0
"""Balik nama akun.""",Problem,0.0
"""Berapa perangkat untuk 0D ?""",Information,1.0
"""Apa itu Biznet Wifi ?""",Information,1.0
"""Hotspot Biznet""",Problem,0.0
"""Cara ganti layanan home ke metronet""",Problem,0.0
"""Internet saya down sejak semalam""",Problem,1.0
"""informasi harga paket area manado min""",Information,1.0
"""promo berlangganan 2D buy daerah bogor""",Information,1.0
"""mau beli ekstra kuota gimana""",Problem,0.0
"""email biznet home""",Problem,0.0
"""HOTLINE biznet home""",Problem,0.0
"""harga promo 1D 12+5 jakarta""",Information,1.0
"""Ping tinggi""",Problem,1.0
"""CCTV saya tidak berfungsi dengan koneksi biznet sementara koneksi lain tidak ada kendala.""",Problem,1.0
"""Saya tidak bisa akses App Biznet""",Problem,1.0
"""Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.""",Problem,0.0
"""Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.""",Problem,0.0
"""Saya tidak bisa akses App Biznet""",Problem,1.0
"""Tidak dapat login ke akun Anda di https://app.biznet.id.""",Problem,0.0
"""cara cek coverage area""",Request,1.0
"""Apakah saya bisa menambah Add On IPTV ?""",Request,0.6666666666666666
"""Apa syarat untuk berhenti berlangganan ?""",Information,0.6
"""cara pasang router tambahan""",Problem,1.0
"""kok bandwidth yang kudapat ngga sesuai sih???""",Information,0.75
"""iya router seperti tenda""",Problem,1.0
"""kapan teknisinya datang""",Information,1.0
"""kok tanggal jatuh tempo nya maju terus ya?""",Problem,0.5
"""Adakah perubahan nomor pelanggan utk biznet saya?""",Information,1.0
"""Adakah perubahan nomor ID pelanggan utk biznet saya?""",Information,1.0
"""Kenapa My Biznet saya ada 2 akun atas nama orang lain?""",Problem,0.5
"""Saya tidak dapat mengirim dan menerimal email""",Problem,0.0
"""apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?""",Information,1.0
"""modemnya rental sampai kapan ya?""",Information,1.0
"""apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?""",Problem,0.6666666666666666
"""apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?""",Information,1.0
"""apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?""",Information,1.0
"""syarat relokasi apa saja?""",Information,0.7142857142857143
"""bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?""",Information,1.0
"""jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?""",Information,0.6
"""apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?""",Information,1.0
"""tanggal berapa biasanya akan terdebet?""",Information,1.0
"""tanggal berapa cc biasanya akan terdebet?""",Information,1.0
"""untuk permintaan add on kouta bisa melalui apa saja?""",Information,0.6
"""bisa diinformasikan untuk reset kouta setiap tanggal berapa?""",Information,1.0
"""bisa dicek ID pelanggan ini 1000308564 los merah menyala?""",Problem,0.6666666666666666
"""di nabire sudah kaver belum""",Problem,0.0
"""apakah bisa cek status internet saya""",Problem,0.0
"""koneksi terputus""",Problem,1.0
"""kalo lambat gmn""",Problem,1.0
"""kalo internet lambat gmn ceknya""",Problem,1.0
"""Apakah bisa melakukan perubahan paket?""",Information,1.0
"""Mau tanya, kalo ini pingnya sesuai ga?""",Information,1.0
"""Cara relokasi""",Request,1.0
"""cara tau jumlah prangkat terhubng gimana""",Problem,0.0
"""cara membeli promo""",Information,1.0
"""di batam ada layanan apa aja""",Problem,0.0
"""kapan teknisi datang""",Information,1.0
"""internet saya ada loss merah""",Problem,0.0
"""cara mengetahui cakupan area""",Problem,0.0
"""call center homecare""",Problem,0.0
"""berapa suhu modem seharusnya""",Problem,0.5
"""internet saya lambat""",Problem,1.0
"""Nomor call center homcare berapa""",Information,1.0
"""harga promo home internet 1D""",Information,1.0
"""mau nambah router min jual ngga""",Problem,1.0
"""estimasi perbaikan kendala area sampai kapan?""",Information,0.6
"""harga mesh wifi berapa?""",Information,1.0
"""mau nambah router min jual ngga""",Problem,1.0
"""Estimasi waktu relokasi""",Request,1.0
"""mau nambah router min jual ngga""",Problem,1.0
"""cara berlangganan biznet""",Problem,0.0
"""internet Down""",Problem,1.0
"""Harga visit berbayar""",Information,1.0
"""cara order promo min""",Information,1.0
"""cara pengajuan auto debit""",Problem,0.0
"""cara melakukan terminasi""",Request,1.0
"""harga IPTV""",Information,1.0
"""Apakah perubahan paket menghanguskan masa aktif?""",Information,1.0
"""cara login ke mybiznet""",Problem,0.0
"""cara cek fup atau kuota""",Information,1.0
"""pembelian IPTV""",Problem,0.0
"""Kak, saya mau pasang wifi di alamat yg berbeda. Saya juga sempet tanya ke sales area jl h hasan kelurahan baru, an Mas Zikri. Tp contact beliau tidak bisa dihubungi lagi""",Problem,1.0
"""min modem saya hilang""",Problem,1.0
"""mau masuk ke modem?""",Problem,0.6666666666666666
"""iya min cara akses ke modem mau ganti password""",Problem,1.0
"""cara cek tanggal reset kuota?""",Information,1.0
"""kendapa speed test lemah ya?""",Information,1.0
"""Saya ada kendala login ke app Biznet sudah ganti password ngak bisa masuk2""",Problem,1.0
"""prediksi cuaca hari ini min""",Problem,0.0
"""cara relokasi""",Request,1.0
"""Minta kompensasi karena internet kendala terus""",Problem,0.5
"""cara melakukan terminasi""",Request,1.0
"""cara mengganti password wifi""",Problem,0.0
"""cek lokasi dong""",Problem,0.0
"""Ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah""",Problem,1.0
"""harga promo biznet home internet 2D modem beli""",Information,0.6666666666666666
"""harga modem biznet""",Problem,0.5
"""Modem saya ada lampu merahnya min?""",Problem,0.6666666666666666
"""Jadwal reset fup""",Information,1.0
"""sudah bayar tapi masa aktif gak sesuai kak?""",Information,1.0
"""cara upgrade layanan""",Request,1.0
"""jaringan saya putus sambung""",Problem,1.0
"""Mau berhenti berlangganan, Belum pasti nanti akan digunakan kembali atau tidak Pak""",Request,1.0
"""cara melakukan pembayaran melalui virtual account BCA""",Problem,0.0
"""cara melakukan pembayaran melalui virtual account BCA""",Problem,0.0
"""cara melakukan pembayaran melalui virtual account BCA""",Problem,0.0
"""cara order promo""",Information,1.0
"""cara melakukan relokasi""",Request,1.0
"""Saya mau pindahin modem gimana caranya?""",Problem,0.6666666666666666
"""Minta kompensasi karena internet kendala terus""",Problem,0.5
"""biaya relokasi""",Request,0.5
"""wifi saya bermasalah""",Problem,0.0
"""Kenapa reminder tidak masuk WA atau sms?""",Problem,0.5
"""Apakah ada promo untuk bulan ini?""",Information,1.0
"""cara order promo""",Information,1.0
"""Harga biznet home internet 1D""",Information,1.0
"""Ini kenapa ada biznet autodebet yg sudah saya cancel masih tetep masuk ya tagihannya ke credit card saya""",Problem,1.0
"""internet saya bermasalah""",Problem,0.0
"""Virtual account BCA""",Problem,0.0
"""Virtual account permata""",Problem,0.0
"""Cara mengetahui id billing""",Information,1.0
"""cara registrasi kembali""",Problem,0.0
"""harga home internet 0D""",Information,1.0
"""cara mengetahui masa aktif akun""",Problem,0.0
"""cara order modem biznet""",Problem,1.0
"""saya sudah bayar tapi belum aktif?""",Information,1.0
"""kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?""",Problem,0.5
"""Cara pembayaran melalui tokopedia""",Problem,0.0
"""cara restart modem""",Problem,1.0
"""cara terminasi""",Request,1.0
"""cara menambah installasi biznet""",Problem,0.0
"""Promo untuk pelanggan baru?""",Information,1.0
"""mau ajuin perluasan wilayah gimana caranya?""",Information,1.0
"""cara menemukan sn modem""",Problem,1.0
"""cara mengetahui jumlah perangkat yang terhubung""",Problem,0.0
"""Teman saya pelanggan Biznet kok dapat gratis kesehatan, saya tidak dapat?""",Problem,0.5
"""cara setting ke bridge""",Problem,0.0
"""cara mengetahui nomor pembayaran baru""",Problem,0.0
"""cara order promo melalui Mybiznet""",Information,1.0
"""can you speak english?""",Information,1.0
"""cara mendapatkan form relokasi""",Request,1.0
"""Hai, my connection internet is so bad, can you help me?""",Information,1.0
"""cara add on kuota""",Request,1.0
"""Biaya pinalty terminasi""",Request,0.5
"""Cara setting CCTV?""",Information,1.0
"""lampu modem loss merah""",Problem,1.0
"""cara setting CCTV pakai jaringan biznet""",Problem,0.0
"""nomor call center biznet home""",Problem,0.0
"""cara reset password mybiznet""",Request,1.0
"""cara merubah e-mail terdaftar""",Problem,0.0
"""internet saya down dari semalam""",Problem,1.0
"""Harga mesh wifi berapa""",Information,1.0
"""Harga paket yang tersedia di Biznet Home""",Information,1.0
"""Harga paket yang tersedia untuk di Sumatera""",Information,1.0
"""Apakah layanan Biznet Home dikenakan kontrak""",Problem,0.0
"""Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?""",Problem,0.6666666666666666
"""Jika kuota utama habis, apakah internetnya tidak bisa digunakan?""",Problem,0.75
"""Apa itu FUP""",Information,1.0
"""Kapan kuota akan direset""",Information,1.0
"""Apakah masa aktif terhitung 30 hari?""",Information,1.0
"""Apakah Biznet Home memiliki promo""",Information,1.0
"""Apakah Biznet Home memiliki kompensasi""",Problem,0.0
"""Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?""",Information,1.0
"""cara mengetahui masa aktif akun""",Problem,0.0
"""Harga IPTV""",Information,1.0
"""Apakah benar di beberapa area tidak diperlukan modem atau perangkat?""",Problem,0.6666666666666666
"""Bagaimana cara terminasi""",Request,0.5
"""Bagaimana cara relokasi""",Request,0.5
"""Bagaimana jika ingin relokasi namun alamat barunya tidak tercakup""",Request,1.0
"""Internetnya lambat""",Problem,1.0
"""Apakah Biznet ada pemblokiran IP""",Problem,0.0
"""Berapa maksimal device pada layanan 0D""",Information,1.0
"""Berapa maksimal device pada layanan 1D""",Information,1.0
"""Berapa maksimal device pada layanan 2D""",Information,1.0
"""Berapa maksimal device pada layanan 3D""",Information,1.0
"""Apakah bisa memiliki lebih dari 1 akun?""",Information,1.0
"""Berapa lama proses pemasangan setelah dilakukan pembayaran""",Request,0.5
"""Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?""",Information,1.0
"""Berapa biaya instalasi""",Information,1.0
"""Berapa harga modem membeli dan menyewa""",Information,0.6666666666666666
"""Apakah Biznet memiliki masa tenggang?""",Information,1.0
"""Apakah modem bisa diganti jika terjadi kerusakan""",Problem,1.0
"""Jika akunnya sudah diterminasi, apakah bisa berlangganan kembali""",Problem,0.0
"""Apakah ada garasi pada pembelian modem?""",Problem,0.6666666666666666
"""Apakah ada garansi pada pembelian modem?""",Problem,0.6666666666666666
"""Apakah ada garansi pada perangkat Biznet IPTV STB""",Problem,0.0
"""Berapa biaya relokasi""",Information,0.6666666666666666
"""Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian""",Problem,1.0
"""Apakah dikenakan biaya jika ingin downgrade layanan?""",Information,0.6
"""Bagaimana cara relokasi""",Request,0.5
"""cara mengetaui billing ID""",Information,1.0
"""cara pembayaran""",Problem,0.0
"""cara mengambil promo""",Information,1.0
"""cara mengecek coverage area""",Request,1.0
"""Apakah biznet memiliki SLA""",Problem,0.0
"""Bagaimana cara memperluas jangkauan modem""",Problem,0.5
"""Bagaimana mana cara memperluas jangkauan sinyal""",Problem,0.0
"""Jika terdapat LOS merah di modem apakah yang harus dilakukan""",Problem,1.0
"""Bagaimana jika speed yang didapatkan tidak sesuai""",Problem,0.0
"""Apakah Biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya""",Problem,0.0
"""Harga mesh wifi berapa""",Information,1.0
"""Apakah Biznet menyediakan kabel LAN""",Problem,0.0
"""Jika terdapat kendala pada adaptor, apakah bisa diganti""",Problem,1.0
"""Bagaimana cara pembelian remote untuk STB""",Information,1.0
"""Bagaimana jika IPTV hanya blank hitam saja""",Problem,0.0
"""Bagaimana cara restart STB""",Information,1.0
"""Bagaimana cara restart modem""",Problem,0.5
"""Apakah biznet memiliki layanan bandwidth on demand""",Information,1.0
"""bagaimana cara registrasi Biznet""",Information,1.0
"""Via portal apa saja untuk menghubungi Biznet customer service""",Information,1.0
"""Apakah biznet metronet memiliki SLA""",Problem,0.0
"""paket yang miliki ip public""",Problem,0.0
"""Apakah layanan Biznet Home upload dan downloadnya simetris""",Problem,0.0
"""Bagaimana cara agar koneksi internet tetap stabil""",Information,1.0
"""Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?""",Problem,0.6666666666666666
"""Jika FUP yang digunakan sudah melebihi pemakaian, apa yang akan terjadi""",Information,1.0
"""call center homecare""",Problem,0.0
"""kalo nomor telepon Home care berapa ya? saya mau call""",Information,1.0
"""Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP""",Information,1.0
"""cara order promo min""",Information,1.0
"""Bagaimana cara pembelian extra kuota""",Information,1.0
"""Apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari""",Problem,0.0
"""jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama""",Problem,0.0
"""Apakah bisa menggunakan e-mail dan nomor telepon yang sama""",Problem,0.0
"""apakah Biznet Home mengeluarkan invoice fisik""",Problem,0.0
"""Internet saya down bisa di bantu cek?""",Problem,0.6666666666666666
"""Berapa biaya visit berbayar""",Information,1.0
"""bagaimana cara merubah data""",Information,1.0
"""cara mengajukan perpindahan tiang biznet sebagai non customer""",Problem,0.0
"""Bagaimana prtosedur relokasi?""",Request,0.6666666666666666
"""Apa status modem saya?""",Problem,0.6666666666666666
"""jika modem saya rusak apakah bisa dilakukan pergantian?""",Problem,0.6666666666666666
"""bagaimana cara cek IP address saya?""",Information,1.0
"""bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?""",Information,0.6
"""Berapa meter jarak ideal pemakaian wifi dari modem biznet""",Problem,0.5
"""apakah ada loker di Biznet""",Problem,0.0
"""apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?""",Problem,0.4
"""apakah akun saya bisa dialihkan ke orang lain?""",Information,1.0
"""apakah KTP yang sudah saya daftarkan bisa didaftarkan lagi?""",Information,1.0
"""Apakah mybiznet ada aplikasinya di playstome atau appstore?""",Information,1.0
"""apakah bisa ajukan terminasi melalui MyBiznet?""",Request,0.6666666666666666
"""apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?""",Problem,0.6666666666666666
"""bagaimana cara mengganti password wifi""",Information,1.0
"""apakah jaringan biznet bisa diperjual belikan lagi?""",Information,1.0
"""bagaimana cara mengganti SSID wifi""",Information,1.0
"""bagaimana cara membuat pembayaran menjadi auto debet""",Information,1.0
"""kapan akan dikirimkan reminder pembayaran""",Information,1.0
"""berapa meter jangkauan modem biznet""",Problem,0.5
"""apakah jaringan Biznet free hotspot diluar bisa saya gunakan?""",Information,1.0
"""bagaimana cara berlangganan internetnya saja tanpa iptv""",Information,1.0
"""apakah perkantoran bisa menggunakan layanan Home?""",Information,1.0
"""paket yang disarankan jika ingin menggunakan cctv""",Problem,0.0
"""bagaimana cara menambahkan kartu kredit""",Information,1.0
"""apakah akun saya bisa dialihkan ke non FUP?""",Information,1.0
"""bagaimana cara memberhentikan kartu kredit""",Information,1.0
"""jika FUP saya habis apakah inet saya masih bisa digunakan?""",Information,1.0
"""apakah biznet menyediakan modem wireless?""",Problem,0.6666666666666666
"""bagaimana jika ingin terminasi namun terdapat kartu kredit""",Request,1.0
"""Apakah perangkat akan diambil jika modemnya membeli""",Problem,0.0
"""apakah tidak ada promo pembelian modem?""",Information,0.6
"""Apakah bisa dilakukan rekoneksi""",Problem,0.0
"""apakah cabang gunung putri buka setiap hari?""",Information,1.0
"""Apakah tiang biznet berwarna kuning""",Problem,0.0
"""apakah boleh saya datang ke cabang?""",Information,1.0
"""Harga internet 1DS""",Information,1.0
"""Harga internet 0DS""",Information,1.0
"""Harga internet 3DS""",Information,1.0
"""Harga internet 1DW""",Information,1.0
"""Harga internet 2DW""",Information,1.0
"""Harga internet 3DW""",Information,1.0
"""Apakah Free Extra Quota hanya untuk pelanggan baru atau existing""",Problem,0.0
"""Ip yang didapatkan pada paket 1D""",Problem,0.0
"""bagaimana cara ubah password akun mybiznet?""",Information,1.0
"""cara stop auto debet?""",Information,1.0
"""layanan IPTV biznet bisa terhubung ke berapa TV?""",Information,1.0
"""apakah stb tv biznet bisa ditukar jika rusak?""",Information,1.0
"""Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi""",Request,1.0
"""apakah dapat menchandise jika pemasangan biznet?""",Request,0.6666666666666666
"""Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan terminasi""",Request,1.0
"""berapa harga remote iptv?""",Information,1.0
"""Apakah biznet menyediakan Merchandise""",Problem,0.0
"""Apakah biznet melakukan pemblokiran port""",Problem,0.0
"""apakah remot tv iptv bisa beli diluar biznet?""",Information,1.0
"""bagaimana cara melakukan pergantian password pada akun MyBiznet""",Information,1.0
"""Apakah sinyal modem akan mencakup seluruh ruangan""",Problem,1.0
"""Apakah Biznet ada channel GBO""",Problem,0.0
"""Apakah Biznet ada channel HBO""",Problem,0.0
"""berapa lama proses installasi biznet?""",Information,1.0
"""apakah relokasi modem biznet bisa saya relokasi mandiri?""",Problem,0.4
"""Halo internet saya down sejak kemarin bisa di cek""",Problem,1.0
"""mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?""",Problem,0.75
"""Mengapa tidak bisa menggunakan DNS lain?""",Problem,0.75
"""apa itu DNS?""",Information,1.0
"""Apakah bisa dilakukan perubahan atas nama""",Problem,0.0
"""apa itu IP?""",Information,1.0
"""Apakah biznet home mengeluarkan faktur pajak""",Problem,0.0
"""apa bedanya IP static dan IP dinamic?""",Information,1.0
"""Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil""",Problem,0.0
"""Apakah Biznet Home bisa melakukan perubahan nama atas nama PT""",Problem,0.0
"""Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet""",Problem,0.0
"""apa arti Biznet?""",Information,1.0
"""cara melakukan pembayaran via bank BRI""",Problem,0.0
"""apakah biznet pempunya layanan telepon?""",Information,1.0
"""cara melakukan pembayaran via bank Mandiri""",Problem,0.0
"""cara melakukan pembayaran via Tokopedia""",Problem,0.0
"""cara melakukan pembayaran via Bank BCA""",Problem,0.0
"""Apakah layanan home memiliki jatuh tempo""",Problem,0.0
"""Apakah layanan home memiliki jatuh tempo setiap bulannya""",Problem,0.0
"""packet loss""",Problem,1.0
"""promo""",Information,1.0
"""TV tidak bisa koneksi internet""",Problem,1.0
"""Smart TV saya terkendala""",Problem,0.0
"""STB Communication Error""",Problem,1.0
"""STB Connection Error""",Problem,1.0
"""Cara Factory Reset STB""",Problem,0.0
"""Cara melihat device yang terhubung di modem.""",Problem,1.0
"""weak security pada iphone""",Problem,0.0
"""Rekomendasi router untuk game""",Problem,1.0
"""ping jumping""",Problem,0.0
"""Ada promo 3+1 ga""",Information,1.0
"""youtube nya putus putus""",Problem,1.0
"""sudah restart modem tapi masih sama""",Problem,1.0
"""bisakah datangkan teknisi""",Problem,0.0
"""oi putus nih inetnya""",Problem,1.0
"""apa status modem saya?""",Problem,0.6666666666666666
"""kenapa koneksi saya putus-putus?""",Problem,0.75
"""Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?""",Problem,0.6666666666666666
"""Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?""",Information,1.0
"""Apakah MyBiznet bisa menampilkan banyak akun""",Problem,0.0
"""bagaimana cara mengganti password wifi""",Information,1.0
"""kapan akan dikirimkan reminder pembayaran""",Information,1.0
"""apakah biznet menyediakan modem wireless?""",Problem,0.6666666666666666
"""apakah tidak ada promo pembelian modem?""",Information,0.6
"""dimana kantor pusat biznet?""",Information,1.0
"""apakah Biznet bisa membayar pasca bayar""",Problem,0.0
"""Apakah Free Extra Quota hanya untuk pelanggan baru atau existing""",Problem,0.0
"""Perbedaan IP Dynamic Private dan IP Public Dynamic""",Problem,0.0
"""apakah remot tv iptv bisa beli diluar biznet?""",Information,1.0
"""Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet""",Problem,0.0
"""cara melakukan pembayaran via bank Mandiri""",Problem,0.0
"""Cek sisa kuota saya berapa?""",Information,1.0
"""Cara ubah paket""",Request,1.0
"""packet loss""",Problem,1.0
"""ada promo 6+2 ga""",Information,1.0
"""call center homecare""",Problem,0.0
"""nomornya call center berapa?""",Information,1.0
"""Call center layanan home berapa sih?""",Information,1.0
"""mau nambah router min jual ngga""",Problem,1.0
"""cara order promo min""",Information,1.0
"""pembelian IPTV""",Problem,0.0
"""Apakah saya bisa menambah Add On IPTV ?""",Request,0.6666666666666666
"""Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?""",Information,1.0
"""jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?""",Information,0.6
"""internet terputus""",Problem,1.0
"""Boleh di bantu kendala internet down""",Problem,1.0
"""Bisa menggunakan bahasa indonesia""",Problem,0.0
"""tanggal berapa biasanya akan terdebet?""",Information,1.0
"""tanggal berapa biasanya akan terdebet?""",Information,1.0
"""Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?""",Information,1.0
"""Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?""",Information,1.0
"""untuk permintaan add on kouta bisa melalui apa saja?""",Information,0.6
"""bisa dicek ID pelanggan ini 10003 los merah menyala?""",Problem,0.6666666666666666
"""bisa dicek ID pelanggan ini 10003 los merah menyala?""",Problem,0.6666666666666666
"""kenapa koneksi internet saya putus nyambung?""",Problem,0.75
"""kenapa koneksi internet saya putus nyambung?""",Problem,0.75
"""kenapa koneksi internet saya putus nyambung?""",Problem,0.75
"""mengapa saat saya main game ping nya tinggi?""",Information,1.0
"""bagaimana cara mengecek kouat pemakaian saya dibulan ini?""",Information,1.0
"""bagaimana cara mengecek kouat pemakaian saya dibulan ini?""",Information,1.0
"""saya ingin mengecek masa aktif akun saya sampai kapan?""",Information,1.0
"""saya ingin mengecek masa aktif akun saya sampai kapan?""",Information,1.0
"""Terminasi layanan Biznet kemana?""",Request,0.6666666666666666
"""saya ingin mengecek masa aktif akun saya sampai kapan?""",Information,1.0
"""saya ingin mengecek masa aktif akun saya sampai kapan?""",Information,1.0
"""Untuk change package bagaimana?""",Information,1.0
"""saya ingin mengecek masa aktif akun saya sampai kapan?""",Information,1.0
"""saya ingin mengecek masa aktif akun saya sampai kapan?""",Information,1.0
"""Layanan internet LOS""",Problem,1.0
